uid,version,timestamp_load,time_on_page,time_to_first_click,mouse_move_distance,num_clicks,did_misclick,did_succeed
293465,B,1709933858487,1671,,1113.8502578582218,0,false,false
138424,B,1709933887611,10707,7618,2253.2992379322377,2,false,true
666437,B,1709933905370,5112,2896,2016.0900916821706,2,false,true
356568,B,1709933927331,13682,6601,2329.442083395955,2,false,true
907752,B,1709933943479,9742,7267,2074.7652842930897,2,false,true
576815,B,1709933961254,8098,5012,2396.321133173829,2,false,true
99034,B,1709933977749,6258,3351,2075.8424424744317,2,false,true
166438,B,1709934014365,7205,3443,2140.6544454639206,2,false,true
597737,B,1709934028473,5610,2885,2094.963954887156,2,false,true
831837,B,1709934054468,17581,14532,2098.7117132771073,2,false,true
539852,B,1709934078655,8826,5186,2093.994861995339,2,false,true
782729,B,1709934094420,4337,2204,2335.739355163874,2,false,true
194866,B,1709934101747,24944,1883,2101.6079490765596,4,false,true
101138,B,1709934126894,9890,7105,1594.2467858724863,2,false,true
476504,B,1709934144056,6577,3199,2208.3662289719678,2,false,true
955564,B,1709934169366,9173,3969,2071.7847639969136,2,false,true
